state,township,village_tract_town,list_name,name,label
Rakhine,Maungdaw,Pan Taw Pyin,site_name,Ah Nauk,Ah Nauk
Rakhine,Maungdaw,Pan Taw Pyin,site_name,Ah Shey,Ah Shey
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Aung Ba La,Aung Ba La
Rakhine,Buthidaung,Hpa Yar Pyin Aung Pa,site_name,Aung Pa,Aung Pa
Rakhine,Buthidaung,Wet Ma Kya (a) Zay Di Taung,site_name,Baw Li (Ku Lar),Baw Li (Ku Lar)
Rakhine,Buthidaung,Tat Min Chaung,site_name,Daing Net Ywar,Daing Net Ywar
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Gaung Nyar,Gaung Nyar
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Gone Nar,Gone Nar
Rakhine,Buthidaung,Ywar Ma,site_name,Gone Nar,Gone Nar
Rakhine,Buthidaung,Hpa Yar Pyin Aung Pa,site_name,Hpa Yar Pyin,Hpa Yar Pyin
Rakhine,Maungdaw,Maungdaw Town,site_name,Ka Nyin Tan Ward,Ka Nyin Tan Ward
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Kan Be,Kan Be
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Kan Paing Nar,Kan Paing Nar
Rakhine,Buthidaung,Hpa Yar Pyin Aung Pa,site_name,Kant Kaw Myaing (NaTaLa),Kant Kaw Myaing (NaTaLa)
Rakhine,Buthidaung,Mee Kyaung Khaung Swea,site_name,Kone Tan Ywar Thit,Kone Tan Ywar Thit
Rakhine,Buthidaung,Mee Kyaung Khaung Swea,site_name,Ku Mi Khar Li,Ku Mi Khar Li
Rakhine,Maungdaw,Kyein Chaung,site_name,Kyein Chaung,Kyein Chaung
Rakhine,Maungdaw,Maungdaw Town,site_name,Lay Maing Ward,Lay Maing Ward
Rakhine,Buthidaung,Mee Kyaung Khaung Swea,site_name,Maung Hla Ma (Lin Bar Si Li),Maung Hla Ma (Lin Bar Si Li)
Rakhine,Buthidaung,Mee Kyaung Khaung Swea,site_name,Mee Kyaung Khaung Swea,Mee Kyaung Khaung Swea
Rakhine,Maungdaw,Kyein Chaung,site_name,Myauk,Myauk
Rakhine,Buthidaung,Tha Peik Taung,site_name,Myauk,Myauk
Rakhine,Maungdaw,Nyaung Chaung,site_name,Nyaung Chaung,Nyaung Chaung
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Pan Htein,Pan Htein
Rakhine,Maungdaw,Pan Taw Pyin,site_name,Pan Taw Pyin Ywar Thit,Pan Taw Pyin Ywar Thit
Rakhine,Maungdaw,Nyaung Chaung,site_name,Shwe Yin Aye (NaTaLa),Shwe Yin Aye (NaTaLa)
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Shwe Zar (West),Shwe Zar (West)
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Shwe Zar Kat Pa Kaung,Shwe Zar Kat Pa Kaung
Rakhine,Buthidaung,Tat Min Chaung,site_name,Tat Min Chaung,Tat Min Chaung
Rakhine,Buthidaung,Tha Peik Taung,site_name,Taung,Taung
Rakhine,Buthidaung,Tha Peik Taung,site_name,Taung Chay,Taung Chay
Rakhine,Buthidaung,Tha Peik Taung,site_name,Tha Peik Taung (Rakhine),Tha Peik Taung (Rakhine)
Rakhine,Buthidaung,Ywar Ma,site_name,Thit Yin,Thit Yin
Rakhine,Maungdaw,Pan Taw Pyin,site_name,Ywar Gyi (Middle),Ywar Gyi (Middle)
Rakhine,Buthidaung,Ywar Ma,site_name,Ywar Ma Mu Sa Lin,Ywar Ma Mu Sa Lin
Rakhine,Buthidaung,Ywar Ma,site_name,Ywar Ma Rakhine,Ywar Ma Rakhine
Rakhine,Maungdaw,Shwe Zar Kat Pa Kaung,site_name,Zay Di Pyin,Zay Di Pyin
Rakhine,Buthidaung,Wet Ma Kya (a) Zay Di Taung,site_name,Zay Di Taung (Ku Lar),Zay Di Taung (Ku Lar)
Rakhine,Buthidaung,Wet Ma Kya (a) Zay Di Taung,site_name,Zay Di Taung (Rakhine),Zay Di Taung (Rakhine)
Shan (North),Namtu,Man Hsar Long,site_name,Haw Nar,Haw Nar
Shan (North),Muse,Hpai Kawng,site_name,Hpai Kawng,Hpai Kawng
Shan (North),Namtu,Hpar Sum,site_name,Kawng Huong,Kawng Huong
Shan (North),Namtu,,site_name,Kyu Sot,Kyu Sot
Shan (North),Namtu,,site_name,Lisu Church Namtu,Lisu Church Namtu
Shan (North),Namtu,Loi Pyay,site_name,Loi Pyay,Loi Pyay
